p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.6657875542427842e-216,0.5801697608164029,0.989,0.949,5.610539061445122e-212,2,NME4
5.514357419083938e-214,0.7947926519815893,0.976,0.799,1.8572907223216613e-209,2,SFRP1
4.190602089711288e-202,0.7880842457715458,0.789,0.401,1.411436689835659e-197,2,SHISA2
1.8604564797382896e-197,0.7568070985764516,0.566,0.213,6.266203469406533e-193,2,CYP26A1
2.3286673497582687e-193,0.6016412543161116,0.991,0.911,7.843184500720824e-189,2,SNRPN
5.378741696438996e-171,0.5716896449403439,1,1,1.811613990777618e-166,2,TMSB4X
6.122241092419503e-167,0.5457798548324799,0.57,0.233,2.062032022337813e-162,2,PKDCC
2.982822483187979e-155,0.5605502273190102,0.962,0.77,1.0046444405625433e-150,2,LIN28A
2.3080504675513005e-152,0.6629474798989259,0.874,0.601,7.773744779759536e-148,2,NR6A1
1.36287301502011e-148,0.5538676640163345,0.914,0.666,4.590292601889233e-144,2,FGFR1
2.911431085592194e-137,0.5310990300487847,0.682,0.351,9.805991039383068e-133,2,FJX1
6.77378795639967e-135,0.5312915561692106,0.781,0.444,2.281479521594973e-130,2,CITED2
6.942460598156731e-86,0.5414650127892213,0.954,0.823,2.3382901540651688e-81,2,ID3
0,1.427528873921732,0.991,0.928,0,3,CRABP1
0,1.4263628411897826,0.871,0.357,0,3,COL2A1
6.635153083479246e-248,1.2112373885629468,0.989,0.872,2.234785910046645e-243,3,DLK1
1.77851619955162e-240,0.8300788047976915,0.448,0.117,5.990220411709812e-236,3,DCT
5.87087519735419e-240,1.0069037672131447,0.89,0.516,1.9773694752208647e-235,3,PRSS23
5.0299031349913425e-231,1.126464891863938,0.466,0.137,1.694121674896434e-226,3,DAPL1
4.117076538483021e-214,0.8316097705943566,0.98,0.737,1.3866725489264663e-209,3,VIM
1.8178729405452286e-196,1.11764786412245,0.918,0.777,6.122777851050385e-192,3,SFRP2
3.099935045262387e-185,0.6866378714778163,0.98,0.945,1.0440891225948246e-180,3,CIRBP
9.611052512018969e-185,1.006155856103201,0.771,0.448,3.237098596573109e-180,3,IGFBP5
4.620218076053073e-180,0.7899258286748474,0.705,0.376,1.5561356501954356e-175,3,ZNF436-AS1
2.031345673432364e-179,0.7628977387861651,0.912,0.711,6.841775362687544e-175,3,METRN
6.918441232766006e-165,0.7715277833314403,0.575,0.251,2.3302001916079184e-160,3,SIX6
1.119509695669231e-153,0.8707269463386775,0.802,0.597,3.7706206059835372e-149,3,PMEL
2.204080570055276e-138,0.7871483188902766,0.679,0.384,7.423563768003175e-134,3,PAX6
4.4724466035417175e-136,0.6980640810945341,0.534,0.261,1.506364740538886e-131,3,LAMP5
6.623477734290284e-132,0.7138691735583913,0.877,0.798,2.2308535356863103e-127,3,TSC22D1
2.1395773790623068e-128,0.8228558241833464,0.735,0.547,7.206310570419755e-124,3,RBP1
1.0293398262248938e-127,0.7793609425506844,0.707,0.479,3.466919468708065e-123,3,EFNA5
3.5737146151600635e-122,0.8455198442536365,0.421,0.18,1.203662819532061e-117,3,CCL2
0,1.717731524902907,0.979,0.643,0,4,UBE2C
0,1.6440455568028005,1,0.831,0,4,HMGB2
0,1.5239234286017354,0.956,0.511,0,4,CENPF
0,1.4210558929235952,0.996,0.787,0,4,PTTG1
0,1.3600446005363578,0.893,0.416,0,4,TOP2A
0,1.3340208194073138,0.944,0.603,0,4,ARL6IP1
0,1.2130679457577147,0.965,0.689,0,4,UBE2S
0,1.1946908949525408,0.855,0.34,0,4,CDKN3
0,1.1740246351363173,0.904,0.47,0,4,CDC20
0,1.1621648222208396,0.995,0.891,0,4,CKS2
0,1.118200908802665,0.963,0.615,0,4,BIRC5
0,1.064410047665081,0.88,0.41,0,4,NUSAP1
0,1.0383193406810265,0.818,0.29,0,4,MKI67
0,1.036915245401845,0.759,0.242,0,4,CENPA
0,1.0260403425404336,0.87,0.429,0,4,FAM64A
0,0.9781705750628409,0.778,0.298,0,4,PLK1
0,0.9496881677895448,0.742,0.243,0,4,PSRC1
2.045456239674172e-261,1.119206136289379,0.957,0.745,6.889301160846579e-257,4,KPNA2
5.001759584499406e-253,1.058611609138639,0.85,0.459,1.684642645655245e-248,4,CCNB1
6.12295739099701e-188,0.9481090823672604,0.924,0.684,2.062273278861703e-183,4,TUBB4B
0,2.275774803173694,0.915,0.147,0,5,HAPLN1
0,2.0611558790515687,0.877,0.35,0,5,S100A11
0,2.0353396032129805,0.988,0.781,0,5,KRT18
0,1.8338580101307245,0.984,0.749,0,5,KRT8
0,1.3889199300287922,0.548,0.073,0,5,CXCL14
0,1.240184061471091,0.653,0.059,0,5,DLX5
0,0.9898743327578232,0.774,0.201,0,5,CLDN4
2.14415e-319,1.3860870025606888,0.963,0.685,7.221698445e-315,5,LY6E
1.3702416322369918e-291,1.053345634991342,0.792,0.322,4.615110841537412e-287,5,STOM
8.15554389177083e-258,1.5301917621425791,0.918,0.557,2.7468687381873335e-253,5,KRT19
3.655642937430747e-249,1.053309857545622,0.907,0.545,1.2312570977560498e-244,5,PERP
3.725859135562299e-245,0.9369408086124242,0.73,0.288,1.254906615448738e-240,5,TMEM54
2.4070074533229365e-230,0.9569618175898675,0.828,0.384,8.107041803536982e-226,5,ANXA2
2.339183786757757e-224,1.0383804404238228,0.981,0.637,7.8786049121788e-220,5,CLDN6
4.451201063408017e-188,0.9845130832843809,0.989,0.896,1.4992090301664542e-183,5,GNAS
2.789559969390474e-183,0.8456885534672347,0.459,0.125,9.395516932904056e-179,5,CYP1B1
1.1575710345725375e-174,1.1748254726199563,0.984,0.932,3.898815001543764e-170,5,SAT1
1.484579416367768e-150,1.0343532989012325,0.75,0.419,5.00021193226828e-146,5,SHISA2
2.4749442415652256e-148,0.8910829963724218,0.946,0.87,8.335859700015836e-144,5,DBI
5.1131642530067006e-120,0.8342082477801457,0.553,0.246,1.7221648520551868e-115,5,PKDCC
3.2491346720278035e-261,1.625179816913021,1,0.876,1.0943410488856846e-256,6,DLK1
3.8083257898311605e-210,1.0707034813770657,0.999,0.981,1.2826822092730331e-205,6,IGFBP2
6.020492686067941e-199,0.974514877533613,1,1,2.027762141594543e-194,6,MALAT1
1.9599103223792582e-197,1.0552325483755571,0.991,0.942,6.601173956805579e-193,6,MEST
9.764475317656359e-185,1.076125826236233,0.987,0.747,3.2887729317398383e-180,6,VIM
1.242735682049227e-172,0.8150828005898729,0.985,0.947,4.1856580507100017e-168,6,CIRBP
6.942507687973144e-162,1.0348387232770704,0.906,0.531,2.3383060143862345e-157,6,PRSS23
2.545382542025826e-130,0.8924564729294837,0.731,0.389,8.573102939797185e-126,6,ZNF436-AS1
4.688250498474416e-101,0.8904332978814115,0.541,0.246,1.5790496503911682e-96,6,FGF8
8.073348109714078e-97,0.8200860359287272,0.771,0.462,2.7191843768327985e-92,6,IGFBP5
3.199595688567242e-94,0.6998937719773919,0.83,0.697,1.0776558238663327e-89,6,ESD
2.606876838679798e-88,0.6941751004305758,0.859,0.592,8.780221880357428e-84,6,SIX3
5.765141098673916e-81,0.7984893247332492,0.775,0.579,1.9417571734443615e-76,6,H1F0
7.995399602888245e-80,0.729376971159875,0.771,0.601,2.6929305402487895e-75,6,TTYH1
2.0665123985306509e-75,0.7105555053586601,0.81,0.679,6.960220409491085e-71,6,DDIT4
5.434660778059537e-75,0.7138999714563448,0.972,0.934,1.8304480966582327e-70,6,SAT1
7.679691640294267e-74,0.6902978228802117,0.702,0.497,2.586596941367512e-69,6,MIAT
6.689587654669582e-72,0.7977959881074772,0.765,0.609,2.2531200179692617e-67,6,PMEL
2.2949875819034298e-70,0.7823391007233189,0.929,0.893,7.729747674608942e-66,6,LDHA
1.7714586594154004e-58,0.721977817559404,0.783,0.627,5.96644991077701e-54,6,NNAT
1.4202869930198838e-286,1.7209092587267878,0.948,0.499,4.7836686211902706e-282,7,PTPRS
2.1970659991697528e-250,1.5072207844729784,0.976,0.679,7.399937991803644e-246,7,SOX11
4.2341919000254584e-210,1.2724434149957762,0.961,0.651,1.4261181738475746e-205,7,HNRNPH1
1.3951803485099473e-165,1.054040638023956,0.727,0.295,4.699106931816353e-161,7,CRB2
2.427137356575452e-160,0.8838242748932001,0.595,0.199,8.17484133068178e-156,7,SKIDA1
1.5851128845948732e-116,0.9482581292082141,0.802,0.486,5.338818706603993e-112,7,EFNA5
2.982256655268717e-101,0.830607156471943,0.802,0.54,1.0044538640610565e-96,7,CTNNB1
1.0158044380979662e-94,0.611046916556363,0.466,0.168,3.42133092795776e-90,7,SEMA5A
2.502328343400298e-85,0.6590952955553806,0.479,0.198,8.428092093406544e-81,7,PPP3CA
1.3106700479791907e-81,0.6661788181267625,0.885,0.739,4.414467788598712e-77,7,CDC42
1.9036396399701055e-75,0.6616541626176339,0.765,0.556,6.411648671383313e-71,7,PPP1CB
4.6603167186749405e-74,0.6865922543683123,0.994,0.878,1.5696412740169066e-69,7,DLK1
4.702476102459298e-73,0.6719723376527225,0.812,0.622,1.5838409760693162e-68,7,NR6A1
1.2752836623086455e-72,0.6312049519244174,0.917,0.709,4.295282903021749e-68,7,TMSB15A
1.8163590087841604e-70,0.64075198273544,0.9,0.723,6.117678777485931e-66,7,METRN
3.641834860110187e-69,0.6133044741995823,0.564,0.297,1.2266063992337121e-64,7,MSI1
1.978078025450435e-59,0.5529278004001221,0.962,0.752,6.662364597519611e-55,7,VIM
1.3002095399856644e-55,0.5604653204959646,0.824,0.54,4.379235751625716e-51,7,PRSS23
3.461851003846701e-44,0.5552634875849616,0.542,0.35,1.1659860366056073e-39,7,MDM4
2.0226333026605419e-41,0.5708478769911294,0.697,0.47,6.812431226690971e-37,7,IGFBP5
1.4585177785448005e-277,1.1593281859583984,0.922,0.291,4.912433729916743e-273,8,CD9
