"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.99350304503061e-47,0.179278472615772,0.978,0.94,6.71431760596758e-43,"HNRNPA2B1"
1.39656916842037e-44,0.10887864369831,1,1,4.70378461615664e-40,"GAPDH"
2.16196637992467e-43,0.179427418311318,0.969,0.916,7.28171896422427e-39,"HSPD1"
1.26735366798994e-41,0.139734215195106,0.999,0.995,4.26857388915692e-37,"LDHB"
4.90416137502299e-41,0.185995067525121,0.893,0.783,1.65177059272149e-36,"HNRNPM"
6.4498727789543e-41,-0.341424444294769,0.744,0.753,2.1723816506796e-36,"FAM162A"
1.8320696272591e-39,0.152212704245851,0.905,0.811,6.17059371157136e-35,"NDUFB8"
2.63537100803751e-39,0.0947785947379142,0.407,0.273,8.87619309217112e-35,"NOVA1"
2.67028975810415e-39,0.155982534785765,0.973,0.933,8.9938029342706e-35,"SLC25A5"
6.47197122884934e-39,0.0786802235379858,1,1,2.17982462958875e-34,"RPL27"
1.18034339451452e-38,0.165471712449935,0.973,0.943,3.97551458706436e-34,"RANBP1"
6.42381429132795e-38,0.123009634928279,0.999,0.995,2.16360489146217e-33,"CFL1"
1.50917364155969e-37,0.150794603898694,0.82,0.688,5.08304774213718e-33,"PPP4C"
1.78104603927157e-36,0.0861617862768964,0.226,0.134,5.99874116487058e-32,"UHRF1"
2.39218682152511e-36,-0.186956192215853,1,0.997,8.05712443357871e-32,"H3F3B"
4.16881674034825e-36,0.121008636729379,0.642,0.495,1.40409916631669e-31,"C20orf24"
1.60604304191418e-35,-0.591372077173303,0.205,0.293,5.40931356947115e-31,"MT1G"
1.66435249359721e-35,-0.0893943160225747,1,1,5.60570563368478e-31,"RPL12"
6.95586599492714e-35,0.078285944701082,1,1,2.34280522575141e-30,"FAU"
8.55486242495323e-35,-0.223808222951013,0.875,0.861,2.8813632133485e-30,"C4orf3"
1.01738915520397e-34,0.124878395113195,0.574,0.437,3.4266684136425e-30,"PCNA"
1.05947471384172e-34,0.137327929116398,0.779,0.653,3.56841678369029e-30,"AHCY"
1.50389460837364e-34,0.137869696270838,0.936,0.862,5.06526743046324e-30,"YWHAQ"
2.50928985433709e-34,0.142473061281196,0.983,0.954,8.45153915839274e-30,"PRDX6"
3.96000469347675e-34,0.143592475496218,0.995,0.985,1.3337691808099e-29,"HMGB1"
4.6292349416725e-34,0.26234038168436,0.959,0.904,1.55917262070471e-29,"TUBA1A"
1.0798582184298e-33,0.154336708227805,0.842,0.72,3.63707046549341e-29,"DNAJA1"
1.35267834629007e-32,0.106512513236582,0.993,0.978,4.55595593813957e-28,"ATP5O"
1.91071262214168e-32,0.100568475092555,0.479,0.353,6.43547118263539e-28,"TAX1BP3"
1.97459387601816e-32,-0.310421376119272,0.49,0.533,6.65062963381678e-28,"SLC2A1"
3.1477928018958e-32,0.0824162264188226,1,0.999,1.06020809360653e-27,"RPL23A"
6.91420629442952e-32,0.129376855008442,0.999,0.996,2.32877382202681e-27,"H2AFZ"
6.94453168589706e-32,-0.0786264717728331,1,1,2.33898771712699e-27,"RPSA"
2.07546467336398e-31,0.104052244953986,0.557,0.425,6.99037256635722e-27,"TUBG1"
4.52252738411665e-31,0.163355775163299,0.634,0.518,1.52323244824433e-26,"H2AFY"
5.2114511318551e-31,0.0815916942676305,0.451,0.326,1.75526885572012e-26,"FEN1"
5.57838903799448e-31,0.168538337849479,0.689,0.57,1.87885721188692e-26,"KIAA0101"
1.64781389741838e-30,-0.0744567110607619,1,1,5.55000198789483e-26,"RPL37"
3.25016574276977e-30,0.170488962620021,0.774,0.655,1.09468832382229e-25,"TUBB4B"
4.33304271439804e-30,0.137601073330721,0.887,0.797,1.4594121166364e-25,"EIF3I"
4.42935812610278e-30,0.0877846275419869,0.405,0.289,1.49185211045268e-25,"RRM1"
8.58289777787912e-30,0.12601789404827,0.965,0.913,2.89080580056747e-25,"ST13"
1.46146725683521e-29,-0.0603789869078675,1,1,4.92236786774669e-25,"RPL13A"
2.68541870212295e-29,0.0606622498683373,1,1,9.0447587306203e-25,"RPL14"
3.72182145727947e-29,0.0552486929081883,1,1,1.2535466850263e-24,"RPLP2"
4.72130079690348e-29,0.105753293554891,1,1,1.59018132140506e-24,"NPM1"
6.3687211766856e-29,0.0977427528190173,0.547,0.415,2.14504897951948e-24,"ZWINT"
7.05249413849158e-29,0.122842039255012,0.785,0.663,2.37535055078535e-24,"NDUFB1"
1.42009757916158e-28,0.105044441100446,0.6,0.464,4.78303065637412e-24,"DYNC1I2"
3.9044521850382e-28,0.0843913901302544,0.439,0.32,1.31505854044272e-23,"FRG1"
6.52837674065188e-28,0.228787073704254,0.707,0.592,2.19882257001896e-23,"GPC3"
6.84499402831381e-28,0.132611470596343,0.965,0.92,2.30546243867637e-23,"EIF5A"
1.1505578221392e-27,0.126865996721071,0.855,0.766,3.87519380074703e-23,"MDH2"
2.42075432593034e-27,0.141961390248501,0.87,0.782,8.15334264516599e-23,"NME1"
3.07150244949858e-27,0.135637978260808,0.872,0.769,1.03451274001562e-22,"UCHL1"
3.51899827023882e-27,0.132060286090549,0.818,0.709,1.18523380739914e-22,"PA2G4"
4.93060284633596e-27,0.112902825830769,0.52,0.401,1.66067634467442e-22,"DDX39A"
2.69262565213485e-26,0.0764754035467674,0.365,0.261,9.0690324589554e-22,"RRM2"
3.15029791543172e-26,0.0650208164505502,0.366,0.259,1.06105184089656e-21,"PXMP2"
3.71617062912644e-26,0.11497507241422,0.857,0.747,1.25164342959608e-21,"CSNK2B"
4.57621743989811e-26,0.0662726476268424,0.348,0.245,1.54131579593208e-21,"ATP6V0D1"
5.14146093390036e-26,-0.158698661404018,0.118,0.182,1.73169545714698e-21,"SLC16A3"
5.38289804818727e-26,0.0496331422757241,0.223,0.142,1.81301389160995e-21,"KATNB1"
7.48700899245075e-26,0.129493169311537,0.925,0.846,2.52169949874734e-21,"TKT"
8.05897683856162e-26,0.0752285589937465,1,1,2.71434398899594e-21,"H3F3A"
8.80272886462364e-26,0.0701754856692565,0.385,0.278,2.96484710889389e-21,"CENPK"
1.15095735250964e-25,0.124652065018998,0.912,0.836,3.87653945898772e-21,"CCT3"
1.38969842257444e-25,0.0824136348074558,0.45,0.337,4.68064325707297e-21,"WDR77"
1.58935361387218e-25,0.107537433578875,0.479,0.364,5.3531019068829e-21,"CNTNAP2"
3.42925021607378e-25,0.121175748304849,0.861,0.76,1.15500576527581e-20,"CNN3"
3.78612410930694e-25,0.0729856035491991,0.31,0.217,1.27520446125567e-20,"ARMCX2"
4.18801323717926e-25,0.135851319195478,0.799,0.695,1.41056473841435e-20,"PPIB"
6.14818949358132e-25,0.0952932649917315,0.573,0.45,2.07077170333312e-20,"GMNN"
6.77458174044692e-25,0.118519257166855,0.933,0.867,2.28174687599993e-20,"FKBP1A"
7.13703486741544e-25,0.130197512055144,0.986,0.967,2.40382471369419e-20,"HSPE1"
7.30158851791483e-25,0.0688347997199134,0.449,0.332,2.45924802871889e-20,"NAA20"
9.91707671309639e-25,-0.284380826519263,0.36,0.416,3.34017060773799e-20,"IFITM1"
1.02290271689261e-24,0.0823693868151569,0.429,0.318,3.44523864076599e-20,"UNG"
1.44328900070485e-24,0.0831723349141735,0.492,0.377,4.86114168327399e-20,"EIF4A3"
2.39603984664118e-24,0.105497640870917,0.972,0.937,8.07010180747215e-20,"BANF1"
2.41357173115023e-24,0.119580066380792,0.6,0.481,8.12915094768708e-20,"PSAT1"
3.59848713288809e-24,0.0764642885549556,0.392,0.29,1.21200645122804e-19,"CLSPN"
3.65798676191679e-24,0.0812393288977219,0.588,0.459,1.2320465212812e-19,"ADI1"
4.70972482577398e-24,0.0505346825377458,0.198,0.126,1.58628241856893e-19,"FDX1L"
4.99473526307453e-24,0.085128873978884,0.407,0.301,1.68227678395613e-19,"TUBB2A"
7.60110555561808e-24,0.0667179289553809,0.391,0.287,2.56012836218772e-19,"NMT1"
9.03945608940955e-24,0.0892916058148888,0.496,0.379,3.04457920547403e-19,"DHFR"
9.32928935701998e-24,0.127980884584944,0.811,0.701,3.1421979483379e-19,"CCT7"
9.4883401620806e-24,0.114046112103048,0.902,0.811,3.19576784999037e-19,"STRAP"
1.21278641750626e-23,0.0906653931794985,0.73,0.602,4.08478593280283e-19,"NDUFB6"
1.31754525438598e-23,0.0600992455989651,0.377,0.273,4.43762417129741e-19,"TFDP1"
1.37118221131501e-23,0.113117188841513,0.929,0.864,4.6182788059301e-19,"PSMA4"
1.43034776041341e-23,0.0764836110335575,0.557,0.429,4.8175542918484e-19,"PSENEN"
1.63447199511373e-23,0.0658926809391847,0.38,0.277,5.50506512674255e-19,"VRK1"
1.73285846848681e-23,0.11657620858518,0.735,0.602,5.83644060771042e-19,"MAGED2"
1.74096463824039e-23,0.0609597128005905,0.417,0.306,5.86374299805745e-19,"CTPS1"
2.14155962481188e-23,0.0577764379922387,0.361,0.259,7.21298697232889e-19,"PPP6C"
2.53658191023994e-23,0.12973838868252,0.778,0.672,8.54346153187915e-19,"MDH1"
3.17177847580262e-23,0.104816585690777,0.97,0.927,1.06828670843508e-18,"SNRPB"
