"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"DYNC1I2";1.42009757916158e-28;0.105044441100446;0.6;0.464;4.78487678322703e-24
"FRG1";3.9044521850382e-28;0.0843913901302544;0.439;0.32;1.31556611922677e-23
"GPC3";6.52837674065188e-28;0.228787073704254;0.707;0.592;2.19967125899524e-23
"EIF5A";6.84499402831381e-28;0.132611470596343;0.965;0.92;2.30635228790005e-23
"MDH2";1.1505578221392e-27;0.126865996721071;0.855;0.766;3.87668952591581e-23
"NME1";2.42075432593034e-27;0.141961390248501;0.87;0.782;8.15648962578969e-23
"UCHL1";3.07150244949858e-27;0.135637978260808;0.872;0.769;1.03491203533405e-22
"PA2G4";3.51899827023882e-27;0.132060286090549;0.818;0.709;1.18569127717427e-22
"DDX39A";4.93060284633596e-27;0.112902825830769;0.52;0.401;1.66131732304444e-22
"RRM2";2.69262565213485e-26;0.0764754035467674;0.365;0.261;9.07253287230317e-22
"PXMP2";3.15029791543172e-26;0.0650208164505502;0.366;0.259;1.06146137962556e-21
"CSNK2B";3.71617062912644e-26;0.11497507241422;0.857;0.747;1.25212653177786e-21
"ATP6V0D1";4.57621743989811e-26;0.0662726476268424;0.348;0.245;1.54191070419927e-21
"SLC16A3";5.14146093390036e-26;-0.158698661404018;0.118;0.182;1.73236384706839e-21
"KATNB1";5.38289804818727e-26;0.0496331422757241;0.223;0.142;1.81371366835622e-21
"MT-ATP6";6.20284355015891e-26;0.145989410125445;0.975;0.966;2.08998610579054e-21
"TKT";7.48700899245075e-26;0.129493169311537;0.925;0.846;2.52267280991636e-21
"H3F3A";8.05897683856162e-26;0.0752285589937465;1;1;2.71539165598495e-21
"CENPK";8.80272886462364e-26;0.0701754856692565;0.385;0.278;2.96599146364629e-21
"CCT3";1.15095735250964e-25;0.124652065018998;0.912;0.836;3.87803570354598e-21
"WDR77";1.38969842257444e-25;0.0824136348074558;0.45;0.337;4.68244986502232e-21
"CNTNAP2";1.58935361387218e-25;0.107537433578875;0.479;0.364;5.35516806658093e-21
"CNN3";3.42925021607378e-25;0.121175748304849;0.861;0.76;1.1554515678039e-20
"ARMCX2";3.78612410930694e-25;0.0729856035491991;0.31;0.217;1.27569665738988e-20
"PPIB";4.18801323717926e-25;0.135851319195478;0.799;0.695;1.41110918013518e-20
"GMNN";6.14818949358132e-25;0.0952932649917315;0.573;0.45;2.07157096796729e-20
"FKBP1A";6.77458174044692e-25;0.118519257166855;0.933;0.867;2.28262757162618e-20
"HSPE1";7.13703486741544e-25;0.130197512055144;0.986;0.967;2.40475252822696e-20
"NAA20";7.30158851791483e-25;0.0688347997199134;0.449;0.332;2.46019723522622e-20
"IFITM1";9.91707671309639e-25;-0.284380826519263;0.36;0.416;3.3414598277107e-20
"UNG";1.02290271689261e-24;0.0823693868151569;0.429;0.318;3.44656841429795e-20
"EIF4A3";1.44328900070485e-24;0.0831723349141735;0.492;0.377;4.86301795897491e-20
"BANF1";2.39603984664118e-24;0.105497640870917;0.972;0.937;8.07321665927278e-20
"PSAT1";2.41357173115023e-24;0.119580066380792;0.6;0.481;8.13228859093758e-20
"CLSPN";3.59848713288809e-24;0.0764642885549556;0.392;0.29;1.21247425455531e-19
"ADI1";3.65798676191679e-24;0.0812393288977219;0.588;0.459;1.23252205956024e-19
"FDX1L";4.70972482577398e-24;0.0505346825377458;0.198;0.126;1.58689468279628e-19
"TUBB2A";4.99473526307453e-24;0.085128873978884;0.407;0.301;1.68292609954033e-19
"NMT1";7.60110555561808e-24;0.0667179289553809;0.391;0.287;2.56111650590995e-19
"DHFR";9.03945608940955e-24;0.0892916058148888;0.496;0.379;3.04575433476565e-19
"CCT7";9.32928935701998e-24;0.127980884584944;0.811;0.701;3.14341075595431e-19
"STRAP";9.4883401620806e-24;0.114046112103048;0.902;0.811;3.19700133421144e-19
"NDUFB6";1.21278641750626e-23;0.0906653931794985;0.73;0.602;4.08636255514559e-19
"TFDP1";1.31754525438598e-23;0.0600992455989651;0.377;0.273;4.43933698012812e-19
"PSMA4";1.37118221131501e-23;0.113117188841513;0.929;0.864;4.62006134280481e-19
"PSENEN";1.43034776041341e-23;0.0764836110335575;0.557;0.429;4.81941374393694e-19
"VRK1";1.63447199511373e-23;0.0658926809391847;0.38;0.277;5.5071899403362e-19
"MAGED2";1.73285846848681e-23;0.11657620858518;0.735;0.602;5.83869332371945e-19
"CTPS1";1.74096463824039e-23;0.0609597128005905;0.417;0.306;5.86600625208717e-19
"PPP6C";2.14155962481188e-23;0.0577764379922387;0.361;0.259;7.21577099984115e-19
"MDH1";2.53658191023994e-23;0.12973838868252;0.778;0.672;8.54675908836247e-19
"SNRPB";3.17177847580262e-23;0.104816585690777;0.97;0.927;1.06869903963694e-18
"IPO4";3.59164313683172e-23;0.0451159323224612;0.137;0.079;1.21016823852408e-18
"PSMD14";3.65943704802248e-23;0.102911915644214;0.624;0.501;1.23301071896069e-18
"HNRNPDL";5.68835483284062e-23;0.115188014034306;0.963;0.897;1.91663427737732e-18
"CCZ1B";6.28476912663486e-23;0.0433875168774511;0.196;0.126;2.11759010952835e-18
"PRKCDBP";6.41900821909562e-23;0.0945513763261011;0.489;0.378;2.16282062934208e-18
"SLC2A3";6.45141042717409e-23;-0.273693047630619;0.504;0.54;2.17373822933204e-18
"SVIP";6.45222238621523e-23;0.0653989946834601;0.326;0.234;2.17401181081136e-18
"KDELR1";6.84495609373957e-23;0.118286240390474;0.905;0.818;2.30633950622461e-18
"HAT1";6.9391027146574e-23;0.0647844897867936;0.372;0.273;2.33806126867667e-18
"BZW2";7.03940088605516e-23;0.0612592967661658;0.474;0.355;2.37185573454743e-18
"ERH";7.11369940382623e-23;0.105384064927159;0.984;0.955;2.39688987712521e-18
"RPL10";7.16587066806967e-23;-0.0571300501177099;1;1;2.41446846289939e-18
"CKB";7.24264366309076e-23;0.155032729108676;0.926;0.868;2.4403363558418e-18
"RAD51";7.67328554041914e-23;0.0523935239452938;0.234;0.157;2.58543682998883e-18
"TYMS";8.57273196617587e-23;0.0984297608749412;0.602;0.483;2.8884963086833e-18
"RAD51AP1";1.38711730558844e-22;0.0636218296232545;0.349;0.253;4.67375304944969e-18
"PSMD13";1.96071034443125e-22;0.0803692610324751;0.528;0.41;6.60641743452667e-18
"CKLF";2.46680100526927e-22;0.0557042938830674;0.275;0.191;8.31163930715428e-18
"CALM1";3.09572764179923e-22;0.1238726894477;0.897;0.817;1.04307447162783e-17
"BZW1";3.17698762620029e-22;0.0845749844025667;0.65;0.518;1.07045421077193e-17
"MPDU1";3.54983046060798e-22;0.0630047362736478;0.477;0.36;1.19607987539725e-17
"PEPD";3.70025821673559e-22;0.0634568372256474;0.449;0.339;1.24676500354689e-17
"SRP19";4.05857916866829e-22;0.0762364059369049;0.598;0.475;1.36749766509109e-17
"WBP5";4.15941759448659e-22;0.115558465065284;0.852;0.756;1.40147416428631e-17
"GGH";4.24952292604588e-22;0.0654399781517004;0.279;0.195;1.4318342547019e-17
"VPS29";5.41436011407676e-22;0.0864161152518869;0.616;0.496;1.82431449683702e-17
"XRCC5";6.74243623601651e-22;0.123595993445157;0.857;0.757;2.2717964653634e-17
"ARPC2";6.8715159410048e-22;0.104181707315705;0.92;0.851;2.31528858116216e-17
"LMNB1";6.88002255762201e-22;0.061445300675192;0.346;0.252;2.31815480056516e-17
"GLRX3";7.14856248992017e-22;0.106544234074409;0.701;0.584;2.4086366453537e-17
"DLD";7.18308109832957e-22;0.0536136982297808;0.388;0.286;2.42026734527116e-17
"NAPA";7.19839717634432e-22;0.061133129024261;0.398;0.295;2.42542794459746e-17
"PSMB2";7.93920872588127e-22;0.11343848329526;0.902;0.823;2.67503698809844e-17
"RPL8";9.73316952638472e-22;-0.061626011778376;1;1;3.27949414022007e-17
"TK1";9.7704976202619e-22;0.0622819950145901;0.411;0.306;3.29207146817104e-17
"LDHA";9.94979673802388e-22;-0.263914762416813;0.899;0.892;3.35248451290976e-17
"EWSR1";1.05735874182581e-21;0.100133749656345;0.761;0.641;3.56266454470789e-17
"PSMA1";1.123443610717e-21;0.104354019656866;0.911;0.84;3.78533090194986e-17
"SCP2";1.16384127825263e-21;0.0602480540145195;0.51;0.391;3.9214468029444e-17
"CDC37";1.48359534147978e-21;0.0970103748314501;0.711;0.587;4.99882614358197e-17
"RPL31";1.69337485678913e-21;-0.0642967532125409;1;1;5.70565724246529e-17
"ATXN10";1.76202686440781e-21;0.0773621752985948;0.578;0.457;5.93697331693567e-17
"HADH";1.93409632232341e-21;0.0576343212445447;0.438;0.328;6.51674414843651e-17
"PHGDH";2.36936806296836e-21;0.132214651274786;0.855;0.758;7.9833487513656e-17
"RSU1";2.58917426708675e-21;0.050062700393644;0.294;0.209;8.7239637755221e-17
"DDX5";2.59394326682363e-21;0.107935499221282;0.903;0.821;8.74003244323555e-17
"MRPL23";2.70771159261579e-21;0.0996987769564746;0.659;0.541;9.12336344015963e-17
"NDUFA13";3.13266857679772e-21;0.099532972985354;0.773;0.663;1.05552135026622e-16
"ADSL";3.15324782525399e-21;0.0894783488996711;0.579;0.466;1.06245532224108e-16
"ACOT7";3.31830754323833e-21;0.0771506267547696;0.527;0.414;1.11807054361872e-16
"CDK1";3.47346842388713e-21;0.0801829679645152;0.415;0.315;1.17035045074453e-16
"TECR";5.70230789202581e-21;0.103484828803895;0.803;0.689;1.92133562113918e-16
"FKBP3";6.3897639910355e-21;0.101489493661986;0.874;0.786;2.1529670791395e-16
"SSBP1";6.76827490519376e-21;0.115791379306625;0.913;0.853;2.28050254655599e-16
"WDR34";7.85702515702147e-21;0.0514259306657429;0.411;0.307;2.64734605640681e-16
"GRWD1";8.45134612913457e-21;0.0455500211180422;0.326;0.234;2.8475965647506e-16
"PAPSS1";8.55197078464997e-21;0.0439966807645434;0.26;0.179;2.88150103617996e-16
"ATP5J2";1.15032803893501e-20;0.0954330616430106;0.981;0.953;3.87591529438763e-16
