"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.2329854451411e-06,0.00573396917812713,0.359,0.293,0.142571182777798,"ARL4A"
4.25644544109338e-06,0.0403993354503815,0.998,0.994,0.143361338901466,"SNRPD2"
4.27309129350691e-06,0.00679766609402666,0.585,0.495,0.143921987856606,"TSPAN3"
4.28058600137681e-06,0.00799934331465861,0.115,0.084,0.144174417112372,"SPATA24"
4.28091285982034e-06,0.011437849389612,0.151,0.115,0.144185426031609,"MEMO1"
4.31811104272441e-06,0.00582519450622879,0.21,0.166,0.145438298030001,"CYFIP1"
4.35103228460334e-06,0.0137081830387206,0.433,0.359,0.146547118377725,"ECSIT"
4.3535134374893e-06,0.01119482788293,0.167,0.128,0.146630686088077,"WRAP53"
4.35588120559965e-06,0.0130730447910924,0.322,0.265,0.146710434885802,"RRS1"
4.36892178351298e-06,0.00556444050054483,0.327,0.265,0.147149654590501,"LGR4"
4.43662200431328e-06,0.00797584336023932,0.213,0.168,0.149429865727276,"MAPK10"
4.44399723885267e-06,0.00177173639291539,0.307,0.249,0.149678271001797,"TRMT1"
4.44878270233427e-06,0.00651103046961282,0.393,0.325,0.14983945019732,"SAC3D1"
4.45800733641312e-06,0.000357297187181582,0.311,0.25,0.15015014509773,"ZNF652"
4.46535454829855e-06,0.0127731094023247,0.185,0.144,0.150397606541243,"LONP2"
4.50699748677322e-06,-0.00219374217711477,0.375,0.305,0.151800182352009,"FAM104B"
4.52593779702094e-06,0.00792284714017805,0.255,0.206,0.152438110941462,"SNAPC2"
4.53378290655849e-06,0.0131604469401991,0.394,0.327,0.152702342075796,"COMMD10"
4.54599928903935e-06,0.0102354897401343,0.193,0.151,0.153113802054134,"ADSSL1"
4.55952803556878e-06,0.0051395139701349,0.272,0.22,0.153569463765992,"USP5"
4.56996901559389e-06,0.00405308430145526,0.162,0.124,0.153921126414218,"TRIM16"
4.58948128587066e-06,0.00768778397058711,0.237,0.19,0.15457831918941,"WDR45"
4.63836234866364e-06,0.0118494050760753,0.261,0.209,0.15622468226534,"ATP6V1B2"
4.64272308209748e-06,0.00223450969964889,0.236,0.187,0.156371556128125,"LZIC"
4.6588255528152e-06,0.0122963588622031,0.213,0.169,0.156913903444369,"GADD45A"
4.66618863038253e-06,0.0111016615672442,0.225,0.178,0.157161899259914,"CAMKMT"
4.67355390465339e-06,0.00596010023650595,0.277,0.222,0.157409969062631,"AP2A1"
4.6817341226595e-06,-0.0751127903214375,0.911,0.888,0.157685486985294,"EIF5"
4.69268077798558e-06,0.00608020844346624,0.346,0.282,0.158054181283332,"CHMP1A"
4.72918536042607e-06,0.00406748980325497,0.22,0.173,0.159283692124511,"C19orf12"
4.74117406935355e-06,0.00374843897555349,0.213,0.167,0.159687483829897,"NISCH"
4.76027896191011e-06,0.0119767313099751,0.147,0.111,0.160330955716094,"AAED1"
4.80936188580424e-06,0.0132186449526973,0.343,0.284,0.161984117675772,"ORMDL2"
4.81989298493479e-06,0.0173735215376812,0.288,0.234,0.162338815625589,"TMEM69"
4.83083641980406e-06,0.0488225503815167,0.966,0.931,0.16270740145542,"NDUFB2"
4.83967796108697e-06,-0.000406354525690683,0.22,0.174,0.16300519340737,"RSPRY1"
4.8488332182271e-06,0.0180917709108474,0.173,0.135,0.163313551623107,"RAD9A"
