"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
7.84432411835489e-188,0.353997306884109,0.988,0.953,2.64204680630311e-183,"RPS10"
2.84133108222174e-163,0.173952306817808,1,1,9.56988721803104e-159,"RPL41"
5.74886150702525e-120,0.166821403286337,1,1,1.93627404418117e-115,"RPL26"
1.08153511428249e-115,0.200931253165875,1,0.997,3.64271841841486e-111,"RPS21"
2.63306173938579e-108,-0.290528190760968,0.985,0.986,8.86841524442527e-104,"MIF"
1.10836482244312e-84,-0.266676738743942,0.951,0.951,3.73308355847068e-80,"AC090498.1"
5.79762730830629e-59,0.14558417667777,1,1,1.95269885371064e-54,"GAPDH"
2.58960943021725e-58,0.236577242670264,0.913,0.813,8.72206352191471e-54,"NDUFC2"
4.46675011645253e-52,0.202813075363671,0.943,0.876,1.50444610672238e-47,"NDUFA11"
3.5929948329254e-50,-0.437872112537765,0.704,0.738,1.2101565896776e-45,"BNIP3"
4.4700924181929e-50,0.14943108336657,1,0.998,1.50557182737155e-45,"YBX1"
7.88567383290963e-50,0.200061759797471,0.997,0.994,2.65597380366229e-45,"HSP90AB1"
1.2860082634094e-49,-0.679099746507056,0.613,0.699,4.33140443198922e-45,"MT1X"
1.76815894477888e-48,0.171907459436407,0.986,0.963,5.95533614190975e-44,"RPL36A"
2.51372459067525e-48,0.205934303661702,0.743,0.59,8.4664757938533e-44,"PSMA2"
4.52638712846803e-45,0.160004042601501,1,0.999,1.52453244873932e-40,"TUBB"
7.78580665161732e-43,0.144330745615005,0.997,0.993,2.62233753833123e-38,"PABPC1"
6.15186793770434e-41,0.152117693822136,0.999,0.996,2.0720106400982e-36,"LDHB"
8.38647537959202e-38,0.232114575466103,0.998,0.992,2.82464877260039e-33,"HSP90AA1"
6.05984223924066e-34,0.16182615531778,0.971,0.935,2.04101546459865e-29,"SLC25A5"
8.41864882634431e-34,0.19438916734907,0.978,0.942,2.83548511120103e-29,"HSPA8"
1.21430697384676e-33,0.127552802872074,1,1,4.08990731861327e-29,"NPM1"
6.42329106614075e-33,0.162220424141406,0.816,0.696,2.16342866398687e-28,"MINOS1"
