"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"PSMA4";4.73505266555813e-20;0.11647039493795;0.933;0.872;1.59481308828663e-15
"FRG1";6.22888066890519e-20;0.0793360622329159;0.438;0.325;2.09794929809396e-15
"MT2A";1.00627761752808e-19;-0.475723717675469;0.42;0.484;3.38924364359632e-15
"FEN1";1.37682092442006e-19;0.0751075310589064;0.466;0.352;4.63727055553922e-15
"RPS23";1.90646669646215e-19;-0.0501440785486098;1;1;6.42117048035416e-15
"UCHL1";2.61642868484361e-19;0.130966406964457;0.881;0.792;8.81239345342176e-15
"TUBG1";4.88461747382774e-19;0.0881963833005286;0.57;0.45;1.64518801135992e-14
"CKLF";6.24881223492731e-19;0.0620434675438452;0.292;0.203;2.10466244884587e-14
"ATP6V0D1";1.06109542751156e-18;0.0593327513943859;0.336;0.239;3.57387550940168e-14
"NAA20";1.41602965061299e-18;0.066871737387491;0.458;0.342;4.76932946622963e-14
"RPL13A";4.84193324547192e-18;-0.0502412167369837;1;1;1.6308115364074e-13
"SLC2A3";6.00153354913002e-18;-0.280555650715861;0.48;0.52;2.02137651468248e-13
"MPDU1";6.55923906929721e-18;0.0698385868908933;0.499;0.382;2.20921731092999e-13
"DDX39A";6.84277004767051e-18;0.102177856032912;0.532;0.42;2.3047133797559e-13
"SCP2";1.03244415442473e-17;0.0672983409373895;0.51;0.392;3.47737515651794e-13
"RRM1";1.50372106062086e-17;0.0655342312823425;0.42;0.314;5.0646829042771e-13
"PA2G4";1.5231878864222e-17;0.113022621762464;0.821;0.723;5.1302491202586e-13
"STRAP";1.71641320367683e-17;0.10611804721889;0.902;0.82;5.78105131130392e-13
"ISYNA1";2.04860200613024e-17;0.105513237315698;0.704;0.576;6.89989641684725e-13
"FDX1L";2.28628284508643e-17;0.0496155950211699;0.204;0.133;7.70042925053561e-13
"PXMP2";2.32644337948971e-17;0.0581117046013205;0.394;0.29;7.83569394645929e-13
"ZWINT";2.37134491518112e-17;0.0797243391606852;0.573;0.45;7.98692680882154e-13
"PSMA1";3.59928533628812e-17;0.107466983454056;0.908;0.842;1.2122752941152e-12
"SERPINF1";4.04236194008954e-17;0.0811839461268021;0.522;0.406;1.36150792504156e-12
"MAGED2";5.25726460403077e-17;0.108443636268161;0.737;0.613;1.7706992912836e-12
"CFL1";5.65579576222248e-17;0.08371883745634;1;0.997;1.90492857067415e-12
"RPS12";7.58605414694158e-17;-0.0538624733255961;1;1;2.55505889723139e-12
"PEPD";8.0200414028458e-17;0.0684476668769428;0.45;0.345;2.70123014489249e-12
"HAT1";8.29368324943367e-17;0.0652468066921139;0.376;0.279;2.79339545524175e-12
"CNN3";8.45306844063929e-17;0.113852409724715;0.856;0.767;2.84707798149172e-12
"CENPK";8.70148173795004e-17;0.0612596312218122;0.4;0.299;2.93074606415895e-12
"EIF4A2";9.38905893738281e-17;0.112837533616708;0.942;0.895;3.1623289406999e-12
"NMT1";1.08822098164953e-16;0.0635076218458777;0.406;0.305;3.66523708829378e-12
"BZW2";1.21808308386913e-16;0.0610883564557045;0.473;0.36;4.10262563477962e-12
"ADI1";1.34361048701892e-16;0.0736502113675598;0.599;0.475;4.52541448132842e-12
"EIF5A";1.36111959640736e-16;0.114358607670869;0.969;0.936;4.58438691265963e-12
"MT1E";1.37463475927012e-16;-0.437186338181079;0.254;0.319;4.62990733269769e-12
"TYMS";1.5803789280762e-16;0.0973397337083373;0.621;0.512;5.32287426765346e-12
"DHFR";1.76748206845584e-16;0.0877815650049655;0.537;0.423;5.9530563547661e-12
"ACOT7";1.85762532857051e-16;0.081863974099156;0.551;0.441;6.25666786915832e-12
"DHRS4L2";1.86524949365e-16;0.0561279459947952;0.402;0.301;6.28234681956256e-12
"SLC16A3";1.95038389732022e-16;-0.122913605729533;0.113;0.169;6.56908800456422e-12
"PAM16";2.1016348264427e-16;-0.0625023157098218;0.049;0.091;7.07851625894165e-12
"PSMD14";2.30936067002926e-16;0.100055623455606;0.626;0.512;7.77815767272554e-12
"CORO1B";2.60057824169217e-16;0.057115033016785;0.458;0.348;8.7590075758434e-12
"UNC50";3.26558879220294e-16;0.060291358070459;0.324;0.235;1.09988296110187e-11
"SELENBP1";3.8868240889327e-16;0.0619859163967414;0.25;0.174;1.30912122139342e-11
"TUBB2A";3.89726438629147e-16;0.0706894123514412;0.413;0.312;1.31263761794683e-11
"HNRNPDL";3.91191419310817e-16;0.106579469592273;0.968;0.909;1.31757181938076e-11
"NAPA";4.06906978320859e-16;0.0576068154362835;0.401;0.3;1.37050339368249e-11
"CKB";4.24417181021449e-16;0.126169993008205;0.943;0.896;1.42947950739834e-11
"ARMCX2";4.79584573967645e-16;0.0652197754019756;0.304;0.221;1.61528880358042e-11
"OAT";5.85246762303572e-16;0.0509534313868501;0.264;0.187;1.97116962011466e-11
"RRM2";6.30966341880168e-16;0.0621686786907832;0.381;0.285;2.12515773608659e-11
"CCZ1B";6.36254573124867e-16;0.044484677453471;0.195;0.128;2.14296902774186e-11
"HMGB1";6.57529887036666e-16;0.0970748968195605;0.996;0.99;2.2146264125282e-11
"PEG10";6.9252458161453e-16;0.0830343102188925;0.503;0.397;2.3324920433359e-11
"TUBB4B";8.9050113659344e-16;0.117285682406789;0.774;0.678;2.99929687816037e-11
"CCT7";1.10992332774445e-15;0.111094393579442;0.811;0.711;3.73833276017608e-11
"PPIB";1.18826794663722e-15;0.114948062341576;0.807;0.713;4.00220527106881e-11
"SRP19";1.20400339850925e-15;0.066177040589478;0.606;0.492;4.055203846519e-11
"RPL37A";1.2853205210306e-15;-0.0486697220703309;1;1;4.32908804688316e-11
"PPP6C";1.32767864369548e-15;0.0555529385519257;0.356;0.263;4.47175443983075e-11
"FKBP1A";1.36092964589252e-15;0.100581753152904;0.935;0.879;4.5837471403306e-11
"RSU1";1.48923681895154e-15;0.0523059515777097;0.289;0.208;5.01589852991067e-11
"CTC-524C5.2";2.2967119858636e-15;0.0351856198735232;0.144;0.088;7.73555563958719e-11
"HADH";2.3577538480642e-15;0.0539495481779242;0.438;0.334;7.94115073566502e-11
"MTHFS";2.65966887630225e-15;0.0371699629016115;0.174;0.113;8.95803074227362e-11
"PSENEN";2.67470543375339e-15;0.066505957170063;0.57;0.449;9.0086753714248e-11
"SCCPDH";2.83073300173294e-15;0.0637595654524727;0.428;0.326;9.53419182313670e-11
"ATXN10";3.04226223523427e-15;0.0697383386011646;0.572;0.457;1.02466434344926e-10
"PRIM2";3.05963237807741e-15;0.0410181638954745;0.226;0.154;1.03051478126025e-10
"RPL8";3.18144568395992e-15;-0.049695460049481;1;1;1.07154272081454e-10
"ARPC2";3.22609005911263e-15;0.0979675920459719;0.92;0.866;1.08657939280973e-10
